pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327612,1,1,1.0,2.0,2.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.5,4.0,1.0,1
327614,1,1,2.0,6.0,6.0,12.0,8.0,6.0,0.0,2.0,0.0,0.0,0.5,12.0,2.0,1
327623,1,1,2.0,5.0,5.0,10.0,8.0,5.0,0.0,2.0,0.0,0.0,0.5,10.0,2.0,1
327624,2,1,4.0,141.0,30.0,171.0,79.0,28.5,0.0,6.0,0.0,0.0,0.17543859649122806,85.5,2.0,1
327628,3,2,2.0,62.0,31.0,93.0,48.0,23.25,0.0,4.0,0.0,0.0,0.3333333333333333,31.0,0.6666666666666666,2
327629,1,1,10.0,280.0,34.0,314.0,146.0,31.4,0.0,10.0,0.0,0.0,0.10828025477707007,314.0,10.0,1
327632,2,1,16.0,191.0,24.0,215.0,61.0,12.647058823529411,1.0,16.0,0.0,0.0,0.11162790697674418,107.5,8.0,1
327637,2,1,3.0,119.0,8.0,127.0,57.0,25.4,1.0,4.0,0.0,0.0,0.06299212598425197,63.5,1.5,1
327638,1,1,11.0,48.0,88.0,136.0,33.0,12.363636363636363,0.0,11.0,0.0,0.0,0.6470588235294118,136.0,11.0,1
327642,6,1,88.0,1386.0,1292.0,2678.0,139.0,24.345454545454544,3.0,107.0,0.0,0.0,0.48244958924570575,446.3333333333333,14.666666666666666,1
327647,1,1,1.0,5.0,1.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.16666666666666666,6.0,1.0,1
327651,1,1,1.0,14.0,7.0,21.0,21.0,21.0,0.0,1.0,0.0,0.0,0.3333333333333333,21.0,1.0,1
327652,1,1,5.0,67.0,7.0,74.0,23.0,14.8,0.0,5.0,0.0,0.0,0.0945945945945946,74.0,5.0,1
327654,1,1,10.0,280.0,34.0,314.0,146.0,31.4,0.0,10.0,0.0,0.0,0.10828025477707007,314.0,10.0,1
